Article Id,Summary,Caption,Category
438,"Half of the rapid fingerprick kits are being made by Guangzhou-based firm Wondfo and will arrive in Britain by the end of the week. The other million, which are reportedly being held-up, are beingmade by AllTest, a diagnostics firm based in Hangzhou. Both of the tests - which the Government has spent millions of pounds on - are said to have EU approval and can be used in hospitals in the UK immediately. Public Health England has yet to green-light any antibody test, with several different kits still being evaluated.",Half of the rapid fingerprick kits are being made by Guangzhou-based firm Wondfo and will arrive in Britain by the end of the week,Equivalence
439,"An intelligence report sent to the White House last week concluded coronavirus numbers coming out of China are fake. China has only publicly reported 82,361 cases and 3,293 deaths as of Wednesday. If true, China would have less cases and deaths than the U.S. Italy and Spain â€“ even though the virus originated in Wuhan, China in the Hubei province. 'The reality is that we could have been better off if China had been more forthcoming,' Vice President Mike Pence said during an interview with CNN Wednesday.",An intelligence report sent to the White House last week concluded coronavirus numbers coming out of China are fake,Equivalence
441,"More than 2.46billion pieces of medical materials, including masks and protective equipment, were inspected by National Customs in China between January 24 and February 29. The report states the agency had expedited the entry of supplies by introducing 'zero-delay customs clearance of epidemic prevention and control materials' It comes days after Chinese organisations operating in Australia were reported to have sent bulk medical supplies to China at the height of the crisis. As of Thursday, there are more than 5,108 confirmed cases in Australia, with 23 deaths. Medical experts are worried a potential shortage of personal protective equipment will leave frontline medical staff exposed to infection.",Tonnes of medical supplies (pictured) were shipped from Sydney to China at the request of a Beijing-backed property giantÂ Risland,Complementarity
442,"Text messages offering free subscriptions to the popular online streaming service are being widely circulated by scammers. Scammers are trying to trick subscribers' into giving out personal information such as bank account and credit card numbers and passwords. Australians have become a common target for phishing scammers during the coronavirus crisis due to recent lockdown laws. Government body Scamwatch warns everyone to not click on the link and to delete the message immediately. The number of cybercriminals trying to steal individuals details via streaming services such as Netflix, Disney+ and Spotify is on the rise, according to cyber security firm Proofpoint.",Australians are being warning about a scam offering free subscriptions to Netflix (stock image),Equivalence
443,"6,156 new infections bring Germany's tally from 67,366 to 73,522. The 140 latest deaths mark Germany's second-deadliest day - behind only yesterday's 149. The overall toll from 732 to 872. Germany's mortality rate has also ticked up again, reaching 1.2 per cent. The southern states of Bavaria and Baden-Wuerttemberg have been especially hard hit, piling up 509 of the 872 deaths between them. The city of Munich alone has recorded nearly 2,900 cases of the disease.","This graph shows the number of coronavirus cases added to Germany's tally each day. Today's figure of 6,156 is just the second time the figure has been more than 6,000",Complementarity
444,"Anan Sahoh, 56, was found slumped on the passenger train on Monday. He was travelling from Bangkok to Narathiwat after recently returning from Pakistan. CCTV footage showed him spitting at a man who was buying tickets. Temperature checks at the station had reportedly showed a normal figure of 96.8F (36C) Authorities are now desperately trying to trace the spitting victim to stop him spreading the disease to others. The number of infections in Thailand has soared past 1,700 - up more than 60 percent from a week ago.",CCTV footage showed this railway passenger spitting in another man's face as he queued to buy train tickets - before the spreader was subsequently found dead,Equivalence
445,"Move comes just weeks after China banned sale of wild animals for food. National Health Commission issued guidelines recommending use of 'Tan Re Qing' It contains bear bile powder, goat horn and three other medicinal herbs. Activists fear it could undermine efforts to stop illegal animal trade. The Asiatic Black Bear is commonly and illegally traded for its body parts. Experts believe more than 12,000 bears are kept on bile farms in China and Vietnam. The drug is produced by a Shanghai pharmaceutical company following traditional Chinese medicine theories.","The Asiatic Black Bear is commonly and illegally traded for its body parts throughout Asia. Experts believe more than 12,000 bears are kept on bear bile farms in China and Vietnam today",Equivalence
446,"London North West University Healthcare Trust has the highest number of victims. 113 coronavirus patients had died at its Central Middlesex Hospital, Ealing Hospital, Northwick Park Hospital and St Mark's Hospital by April 1. It's almost double that of St George's University Hospitals Foundation Trust, covering four hospitals in London, which had recorded 64 deaths. NHS England listed 20 of those deaths at LNWH, which occurred between March 18 and March 31. The trusts reporting the highest deaths care for patients in some of England's hotspots, according to data from Public Health England.",Data shows 130 hospital bodies have now confirmed coronavirus deaths. Pictured is the 20 trusts with the highest number of deaths in England,Complementarity
448,"Caroline Saunby, 48, died at James Cook University hospital in Middlesbrough. The mother-of-two fell ill with suspected tonsillitis last Thursday. Her symptoms worsened over the weekend and she struggled to breathe. She was rushed to hospital but tragically lost her battle with the infection. Her devastated sister Sarah Jarvis has spoken out in a bid to encourage others to take the coronavirus threat seriously. She said: 'Our lives have been ripped apart forever by this horrendous virus that people still are not taking seriously enough'","Caroline Saunby, mother of six-year-old twin boys, has tragically lost her life to coronavirus, succumbing to the deadly illness after struggling to breath and being rushed to hospital",Equivalence
449,"Tom Britton, a mathematics professor from Stockholm University, said it is possible that up to a million people are already infected with the virus. Using mathematical models he believes the number of new daily infections will peak around the middle of the month, with up to 5million people infected by April 30. The country has officially confirmed just 5,466 cases - but scientists have warned the government that not enough testing is being carried out. Sweden has so far resisted calls to go on lockdown like other European countries and has instead asked people to act 'like adults'","A million people in Sweden could already be infected with coronavirus and half the country's 10million population could have it by the end of the month, one mathematician has predicted",Equivalence
450,"The death toll rose by 760 to 13,915, while the number of confirmed cases grew by 4668 to hit 115,242. Pressure on hospitals in Lombardy continued to ease, with more than 800 people recovered and 165 fewer people admitted with Covid-19 compared to a day earlier. More than 10,000 medics have been infected nationwide and 69 doctors have died. Meanwhile the Vatican recorded its seventh coronavirus case and extended its partial lockdown of activities until May 4. The Vatican previously had six cases, including a high-ranking official who lived in the same residence as Pope Francis.",Italy has seen a small dip in the number of new coronavirus infections but daily fatalities have risen slightly as the country still waits to flatten the curve. Pictured: CoffinsÂ in the San Giuseppe church in Seriate last Thursday,Complementarity
451,"There were 414,000 cases of the life-threatening infection on March 25. On the same date, around 18,400 people had died, which has now soared to 47,260 - almost tripling within eight days. Today the UK recorded its highest jump in single-day deaths (596), and the US was the first country to confirm more than 1,000 deaths in 24-hour window. Half the world are estimated to be in lockdown in a bid to slow the spread, buying scientists crucial time to find a vaccine.","Recorded cases of the killer infection have increased by more than half a million from March 25, when it sat at the 414,000 mark. The sharp incline is pictured",Equivalence
452,"Ventilated patients succumb to the virus 66.3 per cent of the time. That is double the mortality rate of non-virus patients who were put on breathing support between 2017 and 2019, before the outbreak. NHS is still 22,000 ventilators short of the estimated 30,000 it will need during the peak of this crisis, which has infected almost 34,000 Britons. Some doctors question whether some critically ill COVID-19 patients are being put on ventilation 'for the sake of it', when the machine could be spared for a healthy person.","Two-thirds of coronavirus patients in the UK who need to be hooked up to a ventilator will die from the illness, official NHS data suggests. Graph also shows the likelihood of critically ill COVID-19 patients surviving based on their age, BMI and whether they have health woes",Equivalence
453,"Health Secretary Matt Hancock admitted Number 10 was looking at the move at a Downing Street press conference tonight. German scientists have already announced they will roll out the certificates, to try and ease the country out of its draconian lockdown. Fears have been raised that people can be struck down twice after reports in China and Japan of patients being reinfected. Antibody tests are the only ones that can tell if someone has ever caught the deadly infection, which has struck almost 1million people worldwide. But Number 10 has yet to approve any antibody tests in the UK.",Health Secretary Matt Hancock admitted Number 10 was looking at the controversial move at a Downing Street press conference tonight,Equivalence
651,"Benn, 56, revealed the devastating news on his Instagram account last night. He wrote: 'My brother Mark passed Away 2day (Covid 19), as we all were growing up Mark was the Joker of the Benn house hold' It came as the number of UK coronavirus-related deaths climbed by 621 to 4,934 and infections rose by 5,903 to 47,806. Last week, British light-heavyweight Anthony Yarde said his grandmother has died from the disease just a few days after his father's death.","Nigel Benn (right) revealed the devastating news that his brother, Mark (left) had died on his Instagram account last night",Complementarity
652,"Chris Hemsworth has shared a touching tribute to his 'dear friend' Andrew Jack. Jack, 76, died from coronavirus complications in London on Monday. Hemsworth, 36, expressed his grief in a moving tribute to the British actor. Jack worked as Hemworth's dialect coach on several blockbusters, including Men in Black: International last year. He also taught Robert Downey Jr how to speak like Charlie Chaplin in The Lord Of The Rings film trilogy. Jack's wife Gabrielle Rogers was quarantined in Australia unable to say goodbye in person.","Tribute:Â Chris Hemsworth has shared a touching tribute to his 'dear friend' Andrew Jack (pictured)Â after the Star Wars actor died from coronavirus complications on Monday aged 76.Â In an Instagram post shared on Friday evening, Hemsworth, 36, expressed his grief in a moving tribute to British actor and dialect coach",Equivalence
653,"TV presenter and criminal barrister, 41, announced the sad news during Friday's This Morning, as he urged viewers to try and remain optimistic in the nationwide lockdown. Robert branded COVID-19 'a terrible disease' as he told show hosts Eamonn Holmes and Ruth Langsford that his elderly relative passed away on Wednesday evening. 'He survived the Second World War, and he was a man that conspired and determined to see joy in the world,' he said. Earlier this week Judge Rinder also revealed that he may have also had coronavirus after developing symptoms, but is refusing to pay for a test.","Sad news:Â Judge Ringer has revealed that his grandfather has died aged 92 after contracting coronavirus, as he paid an emotional tribute to him on Friday's This Morning",Equivalence
654,"Kate, 52, is self-isolating at home with their two children after displaying mild symptoms. Derek, also 52 and a former adviser to Tony Blair, was rushed to hospital on Monday where he was tested positive for coronavirus. Kate met Prince Charles at an event on March 11, but began displaying symptoms on Monday, which is beyond the two-week incubation period. It comes as the number of confirmed coronav virus cases in the UK topped 38,000 on Friday, with 3,605 deaths. Just days ago, the presenter voiced her fears on Good Morning Britain after meeting with Prince Charles.",Sick with worry': Kate Garraway's husband Derek Draper is in intensive care with coronavirus (pictured in December 2019),Complementarity
655,"The 39-year-old Wonder Woman actor followed new CDC recommendations and covered his face with a bandana as he went in to grab their food. Chris kept his look low-key with an olive striped tank top and red pattern shorts than only came down to his thighs. He had on black flip flops and wore a wide-brimmed straw hat over his red, white and blue bandana, which he wore just below his eyesl. Annabelle, best known for her role on the BBC series Peaky Blinders, waited in Chris' gorgeous black Porsche Speedster.",Masked man: Chris Pine upped his coronavirus safety game on Friday when he picked up takeout in LA's Los Feliz neighborhood with his girlfriend Annabelle Wallis while wearing a bandana on his face,Equivalence
656,"The 22-year-old guest-starred on an Instagram Live session by her best pal Stassie Karanikolaou and dished about her parenting methods. 'I have bought her every single outdoor toy you could imagine. She has bouncy houses out there, water toys,' said the makeup billionaire. 'She's been in the pool everyday,' Kylie revealed, sharing that she has ordered a Slip N Slide but that it has not arrived yet. Earlier this week Kylie let her Instagram followers know that she and Stormi were both 'tuned in' to the latest episode of Keeping Up With The Kardashian.",Doing her best: Kylie Jenner told her friend Stassie Karanikolaou about her efforts to make sure her two-year-old daughter Stormi stays' entertained' amid the coronavirus lockdowns,Equivalence
657,"MasterChef returns to Channel Ten later this month, with 24 contestants from past seasons and three new judges. The coronavirus pandemic has caused a 'dire situation' for producers. International judges Nigella Lawson and Heston Blumenthal have had to cancel their scheduled appearances. Planned travel has also been cancelled, while shooting outside of the set has been banned. Contestants will reportedly serve up individually-sized dishes for judges to sample, as opposed to share plates. MasterChef - Back To Win premieres Monday, April 13 at 7.30pm on Channel 10.","From Nigella Lawson bowing out to outdoor challenges shelved: How coronavirus has caused a 'dire situation' for MasterChef producers. Pictured from left to right: new judges Andy Allen, Melissa Leong and Jock Zonfrillo",Complementarity
658,"Bosworth played a nun opposite of Hepburn in the 1959 classic The Nun's Story. She wrote biographies on several stars including Marlon Brando and Montgomery Clift. Her biography on Arbus served as the base for the 2006 film Fur: An Imaginary Portrait of Diane Arbus, which starred Nicole Kidman. Bosworth studied acting at the Actors Studio alongside Marilyn Monroe, Paul Newman, Steve McQueen and Fonda. She worked on Broadway and starred in television shows including Naked City and The Patty Duke.","Patricia Bosworth, left, who acted alongside Audrey Hepburn in the 1959 film The Nun's Story, has died from coronavirus aged 86",Equivalence
659,"The 73-year-old singer's ex-husband John Dunbar has claimed that she is struggling to speak as she battles the deadly virus at a London hospital. However Mick Jagger's former lover is said to be 'stable' and 'responding well to treatment' after testing positive for the condition, her management confirmed. The London-born Marianne was first discovered at a Rolling Stones launch party she attended with John in 1964, which helped launch her singing career. Lucy Boynton, 26, will star as Marianne in a new planned biopic detailing her life.",Confirmed:Â Marianne Faithfull is in hospital being treated for coronavirusÂ (pictured in 2011),Equivalence
660,"Robbie, 46, admitted he felt 'lethargic, tired and heavy' while holed up in an Airbnb down the road from his family's mansion in Los Angeles. Robbie's wife Ayda Field, 40, and their three children had been staying at home while the star kept his distance in temporary accommodation. Robbie was emotionally reunited with wife and children last Saturday after three weeks apart. He said he has been managing to stay out of 'dark holes' by keeping busy and looking after his mental health.",Worried:Â Robbie Williams has admitted he believes he had coronavirus symptoms while spending three weeks in isolation away from his wife and children,Equivalence
661,"The Oscar-winning actress, 47, sent out a bulletin on her Goop website this weekend, containing an article giving tips on the best sex toys. It comes shortly after the star and her husband Brad Falchuk, 49, hinted at sexual frustration in isolation during a chat with an intimacy coach. Among the sex toys recommended are a Â£121 model We-Vibe by Nova which is billed as 'bath friendly' while the Â£110 EVA II vibrator from Dame Products includes 'wings' so users can have a 'hands free experience'",Advice:Â Gwyneth Paltrow has shared her advice on the best vibrators to use amid the coronavirus lockdown,Equivalence
662,"Noel, 52, admitted he has been susceptible to panic buying. He said: 'I've been panic buying booze. Now that the pubs are shut the only thing to do now is to drink your way through it' The former Oasis star insisted people will be alright as long as they stay indoors and added he is fairly isolated at his home anyway. It comes after Noel told how he often comes close to agreeing to an Oasis reunion with estranged brother Liam, but realised he would be doing it for the wrong reasons.","Isolation: Noel Gallagher, 52, admitted he has stockpiled on alcohol to help him through Britain's ongoing coronavirus lockdown (pictured in February 2020)",Equivalence
663,"The 63-year-old sang The Star-Spangled Banner for the eNASCAR iRacing Pro Invitational Series, a virtual alternative for the racing league. She was filmed by her and Tom's youngest son Truman, 24, from outside their Los Angeles home. Rita and Tom returned to the United States last week after they became some of the first celebs diagnosed with the coronavirus earlier in March. It came five years after she beat breast cancer on March 29, 2015, having undergone a bilateral mastectomy.",She's back! Rita WilsonÂ graced her loyal fans with a beautiful rendition of the national anthem Sunday for her first performance after beating COVID-19,Equivalence
664,"Sean Penn's non-profit CORE (Community Organized Relief Effort) is now running some of Los Angeles' drive-thru testing facilities. The Academy Award-winning actor, his girlfriend Leila George, and his two adult children are among the staff of volunteers who are trying to make a real difference in the battle against COVID-19. On Sunday, Penn was spotted helping navigate the flow of cars lined up to get tested for the virus at a location in the Brentwood neighborhood of LA.",On the front lines: Sean Penn's non-profit CORE is running some of the drive-thru coronavirusÂ testing facilities in Los Angeles,Equivalence
665,"John Taylor, 59, revealed he tested positive for the coronavirus three weeks ago but has since recovered. The Hungry Like The Wolf star said he decided to go public about his positive test to help lessen the fear being generated by the pandemic, which he confessed much has been 'entirely justified' The group, who formed in Birmingham, England in 1978, have had 21 singles in the US Billboard Hot 100 and have sold more than 100 million records worldwide. Duran Duran have been working on their 15th studio album for about a year.","Coronavirus crisis: Duran Duran's bassist John Taylor, 59, revealed he tested positive for the coronavirus three weeks ago but has since recovered",Equivalence
666,"MasterChef Australia's all-star 2020 season, Back To Win, is pressing forward with filming ahead of its advertised April 13 premiere on Channel 10. Returning star Poh Ling Yeow, who was runner-up on the cooking showâ€™s debut season, confirmed the show was only 'halfway through filming' and were taking government COVID-19 regulations very seriously on set. She said they were 'pushing ahead' and felt they were in a â€˜privileged positionâ€™ due to filming the series without a live audience. Despite all systems go for the program, the coronavirus pandemic has still caused a 'dire situation' for producers according to reports in The Daily Telegraph.",We're following all the government regulations': Poh Ling Yeow (pictured) confirms MasterChef Australia has adapted to coronavirus rules as they continue filming Channel Ten's 2020 season of the cooking show in Melbourne,Complementarity
667,"Emilio Estevez, 57, took a reprieve from his home quarantine to go on a hike with a mystery woman in Malibu on Sunday. The son of screen legend Martin Sheen wore black shorts with a blue windbreaker jacket and grey hiking boots. By keeping more than 6-feet away from others, the pair appeared to have adhered to the social distancing mandate that's been in effect in Los Angeles for nearly a month. He was credited with being the leader of the Brat Pack that also included the likes of Rob Lowe, Demi Moore, Molly Ringwald, Anthony Michael Hall and Andrew McCarthy.","Cabin fever remedy: Emilio Estevez, 57, took a reprieve from his home quarantine to go on a hike with a mystery woman in Malibu on Sunday",Equivalence
668,"The producer shares custody of the eight-year-old with Spice Girl ex-wife Mel B. But Mel hasnâ€™t seen Madison since December when she came to visit her in the Yorkshire city, with all planes now grounded until further notice due to the pandemic. Stephen, 44, shared a snap of him cuddling his daughter, captioning the post: 'What blessings have come out of this horrible event for you? #quarantine #stayfocused #stayhealthy #timetorecharge #priorities'",Blessings:Â Stephen Belafonte has welcomed the current coronavirus lockdown because it means that he can enjoy an extended period of quality time with daughter Madison,Equivalence
669,"Star, 68, passed away on Saturday 'due to complications arising from a COVID-19 infection' He was married to actress Phoebe Scholfield and together they ran Sync or Swim, a company providing post-production ADR (Automated Dialogue Replacement) services to the film and television industry. Allo Allo star Vicki Michelle, 69, paid tribute to Jay on Twitter on Sunday. John Challis, 77, best known for playing Aubrey 'Boycie' Boyce in Only Fools And Horses also took to Twitter to play tribute.","Aliens' actor Jay Benedict dead: Star, 68, passed away on Saturday 'due to complications arising from a COVID-19 infection' (pictured in 2008)",Equivalence
670,"The 70-year-old soap star had been battling the virus since mid-March. He took to Twitter to update his followers on his health, revealing he had a lucky escape. John urged everyone to 'beware the fickleness, selfishness and stupidity of the masses' and obey the government's orders to stay home. He joined Emmerdale in 2014 and left four years later when his alter ego Lawrence and his on-screen daughter Chrissie were killed in a dramatic car crash.",Health scare: Former Emmerdale actor John Bowe has revealed her 'nearly died' last week after contracting COVI9-19,Equivalence
951,"Bondi, part of Waverley council area, has taken a heavy hit from the coronavirus. The local councilâ€™s 159 cases as of Friday (101 of them in Bondi alone) knocking the sunshine out of the surfside playground. Since 20 March, hostels, meanwhile, have had to comply with new distancing rules of one person every 4 sq metres. At Noah's Backpackers, just along from James Packer's erstwhile beach house, every room, including six-bed dormitories, were made single occupancy. On 21 March, the beach was closed, its entrances hastily fenced off.",St Vincentâ€™s hospital set up a Covid-19 testing clinic at Bondi Beach in response to high numbers of positive tests in the suburb and throughout the Waverley council area.,Complementarity
952,"Research suggests funds should pass on to customers their fall in costs as elective surgery is cut. If premiums were cut in line with services the federal government would also save $1bn to $1.5bn a year in subsidies. The coronavirus pandemic has hit a private health industry that experts say was already in a â€˜death spiralâ€™ because young people, who get relatively little from the product, have quit paying premiums. This has left the funds with a membership increasingly weighted towards older people.","Report author says if private health funds fail to pass on the fall in costs to customers due to reduced surgery, more people will flee the system.",Complementarity
954,"Salley Vickers, 70, says those with immunity could â€˜lend a handâ€™ and suggests idea could appeal to Dominic Cummings, Boris Johnsonâ€™s chief adviser. Fit and healthy volunteers should be deliberately infected with Covid-19 so they can help fight the pandemic after their recovery. She and others would â€œthen be in a unique position to offer up ourselves for research, to provide antibodies, to ameliorate the disease and, finally, join those valiantly fighting to helpâ€",Salley Vickers: â€˜I am surely not alone in hoping to get Covid-19 in order to be granted the immunity to return to the world and lend a hand.â€™,Equivalence
955,"After surviving cancer and a brutal heartbreak, the journalist wanted to find out how people find strength through despair. Her new book Phosphorescence could not have been better timed. Everything is on the periphery of the coronavirus at the moment. Even without a global pandemic to ground it, it is a stunning book. Some of the pillars she recommends include getting out into nature, stepping away from our phones and looking outwards, and the joy of having lower expectations. But while itâ€™s full of strategies that could certainly help when youâ€™ve lost your job and are not allowed to hug your mother, some of them feel impossible right now.","â€˜For the first time in centuries weâ€™re facing a common threat globally,â€™ says Julia Baird of coronavirus. â€˜Itâ€™s amazing to watch people respond to that.â€™",Complementarity
956,"British American Tobacco has said it has a potential coronavirus vaccine in development using tobacco plants. If testing goes well, between 1m and 3m doses of the vaccine could be manufactured per week, beginning in June. BAT said its US biotech subsidiary, Kentucky BioProcessing, has moved to pre-clinical testing and that it will work on the vaccine on a not-for-profit basis. In 2014, the tobacco firm bought KBP, which has previously worked on a treatment for Ebola.","BAT says tobacco plants cannot host pathogens, which cause human disease, potentially making them safer for vaccine use.",Complementarity
957,"Investors in Somerset Capital Management told they could make â€˜super normal returnsâ€™, Government minister Jacob Rees-Moggâ€™s investment firm has been criticised for exploiting the coronavirus crisis. The firm said assets in Latin America, Europe, the Middle East and Asia were cheap following the recent heavy falls in global stock markets. Keir Starmer, the new leader of the Labour party, said: â€œNobody should be seeking to take advantage of this crisisâ€","Jacob Rees-Mogg, leader of the House of Commons, co-founder and stakeholder in SCM.",Equivalence
958,"Britainâ€™s new car registrations plummeted by 44% in March, a steeper fall than during the financial crisis. Sales in March were 203,000 down on the same month a year earlier, according to data released by the Society of Motor Manufacturers and Traders (SMMT) March is traditionally one of the strongest months of the year for new car sales because of the release of new number plates. This was the weakest March since the late 90s, when the twice-yearly number plate change was introduced.","UK car sales in March were 203,000 down on the same month a year earlier, according to the Society of Motor Manufacturers and Traders.",Equivalence
959,"Low earners seven times more likely to work in sectors worst hit by shutdown, study finds. Workers aged under 25 are about two and a half times as likely toWork in a sector forced to suspend trade. One in six female employees worked for businesses hit by the lockdown, compared with one in seven of their male counterparts. Women are about one-third more likely than men to work for a sector that has been shut down. The study found that 61% of under-25s who worked in shutdown sectors lived with their parents and tended to contribute a relatively low proportion of household income.","Pubs and restaurants, a mainstay employer for younger workers, have closed.",Complementarity
960,"Goldman Sachs warns UK on cusp of recession as Bank governor talks with Treasury over â€˜powerful and timelyâ€™ response. FTSE 100 declines by 1.6% on Thursday, while the S&P 500 tumbled 3.4% by the close of trading on Wall Street. The yield on US 10-year Treasuries sank to new record lows as investors sought lower-risk investments; yields move inversely to prices. On Thursday, the regional airline Flybe became one of the most prominent corporate victims of the virus yet.",Goldman Sachs believes next weekâ€™s budget will be refocused on the governmentâ€™s short-term response to the coronavirus outbreak.,Complementarity
961,"The shock to the global economy from Covid-19 has been faster and more severe than the 2008 global financial crisisand even the Great Depression. In those two previous episodes, stock markets collapsed by 50% or more, credit markets froze up, massive bankruptcies followed, unemployment rates soared above 10% and GDP contracted at an annualised rate of 10%. But all of this took around three years to play out. In the current crisis, similarly dire macroeconomic and financial outcomes have materialised in three weeks. Earlier this month, it took only 15 days for the US stock market to plummet into bear territory â€“ the fastest such decline ever.",An electronic board at Kookmin Bank shows the benchmark Korea Composite Stock Price Index in freefall.,Equivalence
962,"Some firms have stepped up to support employees, key workers and the NHS â€“ but others have fallen well short. The dramatic effect of the coronavirus on the British economy has posed serious challenges for the countryâ€™s companies and their employees. Some have been applauded for their actions â€“ making donations to health workers, for instance â€“ while others have quickly fallen foul of politicians, the public and their own workers. Here is a list of those who deserve plaudits and brickbats so far.",Co-op is hiring more staff and replacing the free school meals its usually provides with vouchers.,Complementarity
963,"Exscientia to use AI to hunt through compounds which have passed human trials. Oxford-based firm that uses artificial intelligence to develop new medicines has teamed up with a UK national science facility to screen more than 15,000 drugs. Exscientia hopes to discover a drug that can be repurposed to treat coronavirus within the next six to 12 months. Any potential treatment could be made available for compassionate use before clinical trials are completed, but this would depend on how much can be manufactured quickly.","Exscientia will screen the drugs in partnership with Diamond Light Source, above, a national facility that works like a giant microscope.",Complementarity
964,"Covid-19 may have eclipsed older problems, but they will not solve themselves in its shadow. The disease has halted negotiations and infected the lead negotiators. All Whitehall capacity is being spent on the immediate crisis. Ponder ministers selling the idea of a customs border between mainland Britain and Northern Ireland â€“ sand in the wheels of recovery, plus salt in the wounds of history. The crisis will get worse before it eases, and the further Johnson marches his party down this gruelling road, the more of its ideological baggage gets discarded.",â€˜The downsides of EU membership were too banal to justify the bellicose frenzy against it. â€˜,Independence
965,"Donald Trump, Boris Johnson and Jair Bolsonaro seem to be confounded. They are either desperately clinging to a narrative of normality (itâ€™s just a flu), or have already been forced to make embarrassing U-turns acknowledging the gravity of the crisis. On the health front, the crisis reveals the folly of decades of underfunding and privatisation of the health system. The crisis calls for a sea change in economic policy that is at odds with the ideological premises of national populism.","Donald Trump with a coronavirus test kit at a White House briefing, 30 March 2020.",Complementarity
966,"More than three months after the virus first appeared in Wuhan, England and Wales still lack the necessary testing capacity and surveillance infrastructure to shut down the epidemic. Crucial frontline workers are still doing their jobs without adequate personal protective equipment. Public Health England (PHE) seem unable to increase the daily number of tests in line with European neighbours. As other countries acted swiftly to contain the epidemic, the UK appears indecisive and delayed, shifting late in the day from a controversial herd immunity strategy to a lockdown. History wonâ€™t look kindly on Britainâ€™s response.","â€˜Nine weeks after the virus first appeared in Wuhan, England and Wales still lack the necessary testing capacity and surveillance infrastructure to shut down the epidemic.â€™ A drive-through testing facility at Ikea in Wembley, north-west London",Equivalence
967,"Coronavirus has magnified existing social crises and proved that the government can act decisively when the will is there. The Tories have no electoral mandate for a renewed bout of austerity. A reshaping of British society is by no means an inevitability. Boris Johnson may troll Margaret Thatcher in her grave by declaring that â€œthere is such a thing as societyâ€. But we have been fed a diet of rampant dog-eat-dog individualism for over a generation. When Lehman Brothers imploded, the leftâ€™s intellectual cupboard was bare.",â€˜Boris Johnson and Dominic Cummings are wily operators.â€™,Complementarity
968,"Jair Bolsonaro has denied the seriousness of coronavirus. He has also fought with governors trying to take precautions. He is gambling with the lives of 210 million Brazilians because he wants to avoid recession. Donald Trump, despite his initial xenophobic response, has started to recognise the seriousness. Viktor OrbÃ¡n has used the health emergency as an excuse for a power-grab, but recognises that the virus is a real threat. Meanwhile, Bolsonario has promoted protests against congress and the supreme court.","â€˜In a nationwide broadcast last week, Jair Bolsonaro urged an end to the isolation advocated by his own government.â€™",Complementarity
969,"There is now a global hunt for a coronavirus drug, but it is a fight against time. The best way to identify candidate drugs is to use artificial intelligence (AI) to crunch huge quantities of data to find the ones that might work. Major AI companies are putting their immense computing power at the service of scientists engaged in this hunt. But they are being hampered because some pharmaceutical companies are failing to share all of the data on potential candidate treatments that they hold. All pharmaceutical companies must unlock their chemical libraries so that the most promising treatments can be identified and trials can begin. We cannot wait the 18 months it might take.",â€˜Scores of trials are under way around the world.â€™,Complementarity
970,"Amazon warehouse workers are being told that Amazon workers are â€œthe new Red Crossâ€™ But we donâ€™t want to be heroes. We are regular people. We shouldnâ€™s be asked to risk our lives to come into work. And someone has to be held accountable for that, and that person is you. I have worked at Amazon for five years. Until I was fired last week from the Staten Island warehouse in New York City, I was a manager assistant who supervised a team of about 60-100 â€œpickersâ€, who pick items off the shelves.",Amazon workers stage a walkout at the companyâ€™s Staten Island warehouse.,Equivalence
971,"No open data has been published alongside the evidence for the UK governmentâ€™s coronavirus response. The Imperial College London model that prompted the current lockdown has still not been published as open-source code. Singapore has been publishing detailed data about every infected person, including their age, gender, workplace, where they have visited and whether they had contact with other infected people. The UK is making progress with regard to data: potential Covid-19 cases identified through online and call-centre triage are now being published daily.","â€˜Best practices are developing. Italy has been publishing open data daily, with regional breakdowns, and numbers of people self-isolating, hospitalised and in intensive care.â€™",Complementarity
972,"AntÃ³nio Guterres: We must ensure a sufficiently global and coordinated response to the pandemic, then build resilience for the future. Only by coming together will the world be able to face down the Covid-19 pandemic and its shattering consequences. G20 leaders took steps in the right direction, but we are still far away from having a coordinated, articulated global response that meets the unprecedented magnitude of what we are facing. We must prepare for the worst and do everything to avoid it. Here is a three-point call to action based on science, solidarity and smart policies.","Fumigation in Sanaâ€™a, Yemen.",Complementarity
973,"Boris Johnson on 3 March published 28 pages of emergency plans, should coronavirus take hold in Britain. The experience of China through January was enough to put other countries on guard. Korea and Taiwan threw resources at testing, tracing and quarantining. Italy imposed increasingly severe lockdowns, followed by France, Denmark and Norway. The US did almost nothing; Russia and many African nations likewise. Everywhere people were told to â€œlisten to the scienceâ€™. But â€œthe scienceâ€ appeared to lead us to differing conclusions.","â€˜The first intimation that Britain was getting serious came with the first of Johnsonâ€™s daily press conferences.â€™ Chris Whitty, Boris Johnson and Patrick Vallance at a coronavirus press conference in London, 16 March 2020.",Complementarity
974,"Shadow chancellor calls for wealth tax to pay for coronavirus measures. He says we must plan for a future based on solidarity and quality of life. Even the most diehard Tory neoliberal free marketeer would acknowledge that if the crisis has taught us anything, it is that anything is possible. Austerity never worked in tackling the impact of the banking crisis and it wonâ€™t work in addressing the consequences of the coronav virus crisis. Plus we have the greatest crisis of all facing us: the existential threat to human existence from the climate crisis.",Volunteers at a Trussell Trust food bank in Oldham.,Complementarity
